Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Macao SAR, China",MAC,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.05,..,..,..,..,3.66,..,..,..,..,4.96,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.91,..,..,..,..,1.04,..,..,..,..,1.12,..,..,..,..,..,..,..,..,..,..
Malaysia,MYS,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,10.93,..,..,..,..,4.87,..,..,..,..,2.34,..,..,..,..,..,..,..,..,..,..
Maldives,MDV,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.68,..,..,..,..,0.35,..,..,..,..,0.36,..,..,..,..,..,..,..,..,..,..
Mali,MLI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.13,..,..,..,..,0.15,..,..,..,..,0.51,..,..,..,..,..,..,..,..,..,..
Malta,MLT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.36,..,..,..,..,8.13,..,..,..,..,6.24,..,..,..,..,..,..,..,..,..,..
Marshall Islands,MHL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.54,..,..,..,..,1.64,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..
Mauritius,MUS,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.8,..,..,..,..,5.07,..,..,..,..,4.29,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.11,..,..,..,..,3.32,..,..,..,..,3.25,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.74,..,..,..,..,4.32,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.75,..,..,..,..,4.23,..,..,..,..,4.81,..,..,..,..,..,..,..,..,..,..
Montenegro,MNE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.39,..,..,..,..,0.48,..,..,..,..,0.54,..,..,..,..,..,..,..,..,..,..
Mozambique,MOZ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.17,..,..,..,..,0.17,..,..,..,..,0.23,..,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.84,..,..,..,..,0.93,..,..,..,..,1.05,..,..,..,..,..,..,..,..,..,..
Namibia,NAM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.96,..,..,..,..,2.44,..,..,..,..,2.72,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.52,..,..,..,..,0.55,..,..,..,..,0.59,..,..,..,..,..,..,..,..,..,..
Netherlands,NLD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,9.43,..,..,..,..,9.37,..,..,..,..,9.64,..,..,..,..,..,..,..,..,..,..
New Caledonia,NCL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,10.76,..,..,..,..,10.32,..,..,..,..,9.79,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.13,..,..,..,..,2.02,..,..,..,..,2.3,..,..,..,..,..,..,..,..,..,..
Niger,NER,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.44,..,..,..,..,0.46,..,..,..,..,0.47,..,..,..,..,..,..,..,..,..,..
